4976 3
0.13744 -0.61219 0.122231 
0.490267 0.209164 0.204692 
0.00411876 0.376209 0.293621 
0 0.370892 0.293905 
0.0393087 0.344106 0.251708 
0.0364447 0.340127 0.251106 
0.0377069 0.340698 0.249151 
-0.0395705 0.344158 0.251966 
0.0384411 0.342809 0.249617 
-0.0382913 0.341556 0.248568 
-0.0409872 0.345418 0.250173 
0.0193676 0.447353 0.250866 
-0.0193676 0.447353 0.250866 
0.00743142 0.423152 0.259921 
-0.00743142 0.423152 0.259921 
0 0.423786 0.261318 
0 0.449018 0.25474 
0.0075197 0.433213 0.255923 
-0.0075197 0.433213 0.255923 
0 0.433803 0.25771 
0.0346694 0.457077 0.250168 
-0.0346694 0.457077 0.250168 
0.0485642 0.458233 0.242718 
-0.0485642 0.458233 0.242718 
0.0642611 0.449792 0.224535 
-0.0642611 0.449792 0.224535 
0.0724944 0.436834 0.212802 
-0.0724944 0.436834 0.212802 
0.0070923 0.420812 0.265631 
-0.0070923 0.420812 0.265631 
0 0.421075 0.26698 
0.0729893 0.429209 0.208607 
-0.0729893 0.429209 0.208607 
0.0740402 0.416771 0.208029 
-0.0740402 0.416771 0.208029 
0.0766332 0.404617 0.214645 
-0.0766332 0.404617 0.214645 
0.0640839 0.394277 0.230649 
-0.0640839 0.394277 0.230649 
0.0382432 0.397137 0.242104 
-0.0382432 0.397137 0.242104 
0.0252861 0.404287 0.249359 
-0.0252861 0.404287 0.249359 
0.0813127 0.430816 0.198149 
-0.0813127 0.430816 0.198149 
0.084534 0.414132 0.194386 
-0.084534 0.414132 0.194386 
0.0976586 0.393031 0.199039 
-0.0976586 0.393031 0.199039 
0.0163009 0.480804 0.25825 
-0.0163009 0.480804 0.25825 
0 0.475054 0.248617 
0.0314499 0.485746 0.255388 
-0.0314499 0.485746 0.255388 
0.0481989 0.487322 0.242724 
-0.0481989 0.487322 0.242724 
0.0816567 0.466377 0.215893 
-0.0816567 0.466377 0.215893 
0.0827154 0.444995 0.19614 
-0.0827154 0.444995 0.19614 
